split,schedule,step,actual_loss,predicted_loss,residual,log_actual_loss,log_predicted_loss,log_residual
train,cosine,624,4.559743404388428,3.698696997674283,0.8610464067141446,1.5172663509755744,1.3079805948355667,0.20928575614000766
train,cosine,640,4.548750877380371,3.6885617386653404,0.8601891387150307,1.5148526628280548,1.3052366093518852,0.20961605347616952
train,cosine,656,4.455002784729004,3.6787402356006766,0.7762625491283273,1.4940276860020394,1.302570366291055,0.19145731971098434
train,cosine,672,4.41587495803833,3.6692154761826017,0.7466594818557284,1.4852059929122883,1.2999778725073816,0.18522812040490666
train,cosine,688,4.469494819641113,3.6599717472925204,0.8095230723485929,1.4972753864984745,1.2974554280644972,0.19981995843397726
train,cosine,704,4.470085620880127,3.650994508303219,0.819091112576908,1.4974075630013437,1.2949995985100073,0.20240796449133636
train,cosine,720,4.455190181732178,3.642270279304118,0.8129199024280598,1.494069749513774,1.2926071903322311,0.20146255918154288
train,cosine,736,4.351517677307129,3.633786542195953,0.7177311351111757,1.4705246755871357,1.2902752291722597,0.18024944641487606
train,cosine,752,4.443894386291504,3.625531652929139,0.8183627333623651,1.4915311060340228,1.2880009404296937,0.20353016560432913
train,cosine,768,4.318737506866455,3.617494763422857,0.7012427434435979,1.4629631157635703,1.285781731954481,0.1771813838090892
train,cosine,784,4.2793450355529785,3.6096657519200552,0.6696792836329233,1.4537999688071548,1.283615178562288,0.17018479024486677
train,cosine,800,4.226198673248291,3.6020351607154715,0.6241635125328195,1.4413029302157323,1.281499008148507,0.15980392206722538
train,cosine,816,4.249783039093018,3.594594140346038,0.6551888987469794,1.4468679320080766,1.2794310892076222,0.16743684280045446
